year,rank,nation,gold,silver,bronze,total,all_total,all_gold,all_silver,all_bronze,prop_total,prop_gold,prop_silver,prop_bronze
1994,5,Uzbekistan,10,11,19,40,1081,335,335,411,0.03700277520814061,0.029850746268656716,0.03283582089552239,0.046228710462287104
1994,6,Iran,9,9,8,26,1081,335,335,411,0.024051803885291396,0.026865671641791045,0.026865671641791045,0.019464720194647202
1994,7,Chinese Taipei,7,12,24,43,1081,335,335,411,0.039777983348751156,0.020895522388059702,0.03582089552238806,0.058394160583941604
1994,8,India,4,3,15,22,1081,335,335,411,0.020351526364477335,0.011940298507462687,0.008955223880597015,0.0364963503649635
1994,9,Malaysia,4,2,13,19,1081,335,335,411,0.01757631822386679,0.011940298507462687,0.005970149253731343,0.031630170316301706
1994,10,Qatar,4,1,15,20,1081,335,335,411,0.018501387604070305,0.011940298507462687,0.0029850746268656717,0.0364963503649635
1994,11,Indonesia,3,12,11,26,1081,335,335,411,0.024051803885291396,0.008955223880597015,0.03582089552238806,0.0267639902676399
1994,12,Thailand,3,9,13,25,1081,335,335,411,0.02312673450508788,0.008955223880597015,0.026865671641791045,0.031630170316301706
1994,13,Syria,3,3,1,7,1081,335,335,411,0.0064754856614246065,0.008955223880597015,0.008955223880597015,0.0024330900243309003
1994,14,Philippines,3,2,8,13,1081,335,335,411,0.012025901942645698,0.008955223880597015,0.005970149253731343,0.019464720194647202
1994,15,Kuwait,3,1,5,9,1081,335,335,411,0.008325624421831638,0.008955223880597015,0.0029850746268656717,0.012165450121654502
1994,16,Saudi Arabia,1,3,5,9,1081,335,335,411,0.008325624421831638,0.0029850746268656717,0.008955223880597015,0.012165450121654502
1994,17,Turkmenistan,1,3,3,7,1081,335,335,411,0.0064754856614246065,0.0029850746268656717,0.008955223880597015,0.0072992700729927005
1994,18,Mongolia,1,2,6,9,1081,335,335,411,0.008325624421831638,0.0029850746268656717,0.005970149253731343,0.014598540145985401
1994,19,Vietnam,1,2,0,3,1081,335,335,411,0.0027752081406105457,0.0029850746268656717,0.005970149253731343,0
1994,20,Singapore,1,1,5,7,1081,335,335,411,0.0064754856614246065,0.0029850746268656717,0.0029850746268656717,0.012165450121654502
1994,21,Hong Kong,0,5,7,12,1081,335,335,411,0.011100832562442183,0,0.014925373134328358,0.0170316301703163
1994,22,Pakistan,0,4,6,10,1081,335,335,411,0.009250693802035153,0,0.011940298507462687,0.014598540145985401
1994,23,Kyrgyzstan,0,4,5,9,1081,335,335,411,0.008325624421831638,0,0.011940298507462687,0.012165450121654502
1994,24,Jordan,0,2,2,4,1081,335,335,411,0.0037002775208140612,0,0.005970149253731343,0.004866180048661801
1994,25,United Arab Emirates,0,1,3,4,1081,335,335,411,0.0037002775208140612,0,0.0029850746268656717,0.0072992700729927005
1994,26,Macau,0,1,1,2,1081,335,335,411,0.0018501387604070306,0,0.0029850746268656717,0.0024330900243309003
1994,NA,Sri Lanka,0,1,1,2,1081,335,335,411,0.0018501387604070306,0,0.0029850746268656717,0.0024330900243309003
1994,28,Bangladesh,0,1,0,1,1081,335,335,411,9.250693802035153e-4,0,0.0029850746268656717,0
1994,29,Brunei,0,0,2,2,1081,335,335,411,0.0018501387604070306,0,0,0.004866180048661801
1994,NA,Myanmar,0,0,2,2,1081,335,335,411,0.0018501387604070306,0,0,0.004866180048661801
1994,NA,Nepal,0,0,2,2,1081,335,335,411,0.0018501387604070306,0,0,0.004866180048661801
1994,NA,Tajikistan,0,0,2,2,1081,335,335,411,0.0018501387604070306,0,0,0.004866180048661801
1998,1,China,129,78,67,274,1226,378,381,467,0.2234910277324633,0.3412698412698413,0.2047244094488189,0.14346895074946467
1998,2,South Korea,65,46,53,164,1226,378,381,467,0.13376835236541598,0.17195767195767195,0.12073490813648294,0.11349036402569593
1998,3,Japan,52,61,68,181,1226,378,381,467,0.14763458401305057,0.13756613756613756,0.16010498687664043,0.145610278372591
1998,4,Thailand,24,26,40,90,1226,378,381,467,0.0734094616639478,0.06349206349206349,0.06824146981627296,0.08565310492505353
1998,5,Kazakhstan,24,24,30,78,1226,378,381,467,0.0636215334420881,0.06349206349206349,0.06299212598425197,0.06423982869379015
1998,6,Chinese Taipei,19,17,41,77,1226,378,381,467,0.06280587275693311,0.05026455026455026,0.04461942257217848,0.08779443254817987
1998,7,Iran,10,11,13,34,1226,378,381,467,0.02773246329526917,0.026455026455026454,0.028871391076115485,0.027837259100642397
1998,8,North Korea,7,14,12,33,1226,378,381,467,0.026916802610114192,0.018518518518518517,0.03674540682414698,0.02569593147751606
1998,9,India,7,11,17,35,1226,378,381,467,0.028548123980424143,0.018518518518518517,0.028871391076115485,0.03640256959314775
1998,10,Uzbekistan,6,22,12,40,1226,378,381,467,0.03262642740619902,0.015873015873015872,0.05774278215223097,0.02569593147751606
1998,11,Indonesia,6,10,11,27,1226,378,381,467,0.02202283849918434,0.015873015873015872,0.026246719160104987,0.023554603854389723
1998,12,Malaysia,5,10,14,29,1226,378,381,467,0.02365415986949429,0.013227513227513227,0.026246719160104987,0.029978586723768737
1998,13,Hong Kong,5,6,6,17,1226,378,381,467,0.013866231647634585,0.013227513227513227,0.015748031496062992,0.01284796573875803
1998,14,Kuwait,4,6,4,14,1226,378,381,467,0.011419249592169658,0.010582010582010581,0.015748031496062992,0.008565310492505354
1998,15,Sri Lanka,3,0,3,6,1226,378,381,467,0.004893964110929853,0.007936507936507936,0,0.006423982869379015
1998,16,Pakistan,2,4,9,15,1226,378,381,467,0.012234910277324634,0.005291005291005291,0.010498687664041995,0.019271948608137045
1998,17,Singapore,2,3,9,14,1226,378,381,467,0.011419249592169658,0.005291005291005291,0.007874015748031496,0.019271948608137045
1998,18,Qatar,2,3,3,8,1226,378,381,467,0.0065252854812398045,0.005291005291005291,0.007874015748031496,0.006423982869379015
1998,19,Mongolia,2,2,10,14,1226,378,381,467,0.011419249592169658,0.005291005291005291,0.005249343832020997,0.021413276231263382
1998,20,Myanmar,1,6,4,11,1226,378,381,467,0.00897226753670473,0.0026455026455026454,0.015748031496062992,0.008565310492505354
1998,21,Philippines,1,5,12,18,1226,378,381,467,0.01468189233278956,0.0026455026455026454,0.013123359580052493,0.02569593147751606
1998,22,Vietnam,1,5,11,17,1226,378,381,467,0.013866231647634585,0.0026455026455026454,0.013123359580052493,0.023554603854389723
1998,23,Turkmenistan,1,0,1,2,1226,378,381,467,0.0016313213703099511,0.0026455026455026454,0,0.0021413276231263384
1998,24,Kyrgyzstan,0,3,3,6,1226,378,381,467,0.004893964110929853,0,0.007874015748031496,0.006423982869379015
1998,25,Jordan,0,3,2,5,1226,378,381,467,0.004078303425774877,0,0.007874015748031496,0.004282655246252677
1998,26,Syria,0,2,4,6,1226,378,381,467,0.004893964110929853,0,0.005249343832020997,0.008565310492505354
1998,27,Nepal,0,1,3,4,1226,378,381,467,0.0032626427406199023,0,0.0026246719160104987,0.006423982869379015
1998,28,United Arab Emirates,0,1,1,2,1226,378,381,467,0.0016313213703099511,0,0.0026246719160104987,0.0021413276231263384
